	Marca	Vettura	Porte	Anno	Tipo Tetto	TettoVetro	KIT 	  Componibili  PIEDE  	TRAVERSE Acc 	Alu	Preassemblate E.O. SW Acc	Alu.1	Quick Acc	Alu.2	FREE LINE	Unnamed: 16	INITIAL	EASY ONE	EVO	Porta Bici Post.
153	Chrysler	Voyager	5	2001-2008	Profili a T	SI	406.0	600	520	620	830.0	930.0								AL
154	Chrysler	Voyager	5	2008-2014	Barre lungitudinali	SI		600	542	642	830.0	930.0			530.0		● ○			NV
155	Citroen	 Citroen		nan-nan																
156	Citroen	AX	5	1986-1998	Tetto nudo													25.0	59.0	NO
157	Citroen	Berlingo I	3-5	1996-2008	Tetto nudo		209.0	500	507	607								22.0	22.0	AB
158	Citroen	Berlingo I	3-5	1996-2008	Barre lungitudinali	SI		600	513	613	815.0	915.0			515.0		● ○			AB
159	Citroen	Berlingo II	3-5	2008-2018	Punti fissi	SI	129.0	500	520	620										SI
160	Citroen	Berlingo II	3-5	2008-2018	Barre lungitudinali	SI		600	526	626	830.0	930.0			530.0		● ○			SI
161	Citroen	Berlingo III	3-5	2018-nan	Barre lungitudinali	SI	655.0	601	513	613			865.0	965.0	530.0	 				NV
162	Citroen	Bx Break	5	1983-1994	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
163	Citroen	C1 I	5	2005-2014	Tetto nudo	SI												21.0	49.0	NO
164	Citroen	C1 II	5	2014-nan	Tetto nudo	NO	366.0	500	507	607								25.0	59.0	NO
165	Citroen	C1 II	5	2014-nan	Tetto nudo	SI												25.0	59.0	NO
166	Citroen	C2	5	2003-2010	Punti fissi	SI	317.0	500	507	607										AL-AB-2B-RT
167	Citroen	C3 Aircross	5	2017-nan	Barre lungitudinali	SI	655.0	601	507	607			857.0	957.0	515.0					NO
168	Citroen	C3 I	5	2002-2009	Tetto nudo	NO	268.0	500	513	613								33.0	33.0	AL-RT-2B
169	Citroen	C3 II	5	2009-2016	Punti fissi	SI	123.0	500	507	607									5.0	AL
170	Citroen	C3 III	5	2017-nan	Tetto nudo	NO	339.0	500	513	613								79.0	79.0	AB-2B
171	Citroen	C3 III	5	2017-nan	Tetto nudo	SI												79.0	79.0	AB-2B
172	Citroen	C3 Picasso	5	2009-2017	Barre lungitudinali	SI		600	513	613	815.0	915.0			515.0		● ○			AL-2B-RT
173	Citroen	C4 Aircross	5	2012-2017	Punti fissi	SI	128.0	500	513	613								9.0	40.0	AA-AB-AL
174	Citroen	C4 Aircross	5	2012-2017	Profili integrati	SI	651.0	601	507	607			857.0	957.0		730				AA-AB-AL
175	Citroen	C4 Cactus	5	2015-2020	Barre lungitudinali	SI	650.0	601	507	607			857.0	957.0	515.0					AB
176	Citroen	C4 Gran Picasso	5	2006-2013	Punti fissi	SI	120.0	500	513	613									8.0	NO
177	Citroen	C4 Gran Picasso	5	2006-2013	Barre lungitudinali	SI		600	526	626	830.0	930.0			530.0		● ○			NO
178	Citroen	C4 Gran Picasso	5	2013-nan	Tetto nudo		314.0	500	526	626										NO
179	Citroen	C4 I	3	2004-2010	Punti fissi	SI	108.0	500	507	607								8.0	8.0	NO
180	Citroen	C4 I	5	2004-2010	Punti fissi	SI	108.0	500	507	607								8.0	8.0	NO
181	Citroen	C4 II	5	2010-2018	Tetto nudo	SI	246.0	500	520	620								65.0	65.0	AL
182	Citroen	C4 III	5	2021-nan	Tetto nudo	SI	338.0	500	513	613									82.0	NV
183	Citroen	C4 Picasso	5	2007-2013	Punti fissi	SI	120.0	500	513	613								8.0	8.0	NO
184	Citroen	C4 Picasso	5	2007-2013	Barre lungitudinali	SI		600	542	642	830.0	930.0			530.0		● ○			NO
185	Citroen	C4 Picasso	5	2013-nan	Tetto nudo	SI	309.0	500	520	620										NO
186	Citroen	C5 Aircross	5	2019-nan	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0					NV
187	Citroen	C5 I	4	2000-2008	Tetto nudo	SI												41.0	41.0	SI
188	Citroen	C5 I SW	5	2001-2008	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
189	Citroen	C5 II	4	2008-2017	Punti fissi	SI	122.0	500	507	607								5.0	5.0	SI
190	Citroen	C5 II SW	5	2008-2017	Barre lungitudinali	SI		600	520	620	815.0	915.0			515.0		● ○			NO
191	Citroen	C6	4	2005-2012	Punti fissi	SI	122.0	500	526	626									16.0	NO
192	Citroen	C8	5	2002-2010	Tetto nudo		304.0	500	542	642										AL-RT
193	Citroen	C8	5	2002-2010	Profili a T	SI	406.0	600	542	642	830.0	930.0								AL-RT
194	Citroen	C-Crosser	5	2007-2012	Barre lungitudinali	SI		600	526	626	830.0	930.0			530.0		● ○			AL-AB
